period,account_code,account_name,account_type,debit,credit,ending_balance,source
2024-03,6600,Rent & Facilities,Expense,12000,0,12000,GL
2024-03,6700,Depreciation,Expense,2000,0,2000,GL
2024-03,6800,Office Supplies,Expense,1349.54,0,1349.54,GL
2024-03,6900,Utilities,Expense,1826.65,0,1826.65,GL
2024-04,1000,Cash,Asset,216907.97,246904.84,448801.39,GL
2024-04,1100,Accounts Receivable,Asset,227650.33,216907.97,144605.33000000002,GL
2024-04,1500,Fixed Assets,Asset,8188.49,0,14871.3,GL
2024-04,1600,Accumulated Depreciation,Asset,0,2000,8000,GL
2024-04,2000,Accounts Payable,Liability,83558.46,85578.76,55705.64999999998,GL
2024-04,3000,Common Stock,Equity,0,0,650000,GL
2024-04,3900,Retained Earnings,Equity,0,0,-105427.63,derived_plug
2024-04,4000,Product Revenue,Revenue,0,199369.85,199369.85,GL
2024-04,4100,Service Revenue,Revenue,0,28280.48,28280.48,GL
2024-04,5000,Cost of Goods Sold,Expense,65798.51,0,65798.51,GL
2024-04,6000,Salaries & Wages,Expense,103757.11,0,103757.11,GL
2024-04,6100,Employee Benefits,Expense,23580.89,0,23580.89,GL
2024-04,6200,Software & Subscriptions,Expense,8580.53,0,8580.53,GL
2024-04,6300,Marketing & Advertising,Expense,14355.6,0,14355.6,GL
2024-04,6400,Travel & Entertainment,Expense,4370.69,0,4370.69,GL
2024-04,6500,Professional Fees,Expense,5424.65,0,5424.65,GL
2024-04,6600,Rent & Facilities,Expense,12000,0,12000,GL
2024-04,6700,Depreciation,Expense,2000,0,2000,GL
2024-04,6800,Office Supplies,Expense,1044.68,0,1044.68,GL
2024-04,6900,Utilities,Expense,1823.99,0,1823.99,GL
2024-05,1000,Cash,Asset,221642.9,237310.12,433134.17000000004,GL
2024-05,1100,Accounts Receivable,Asset,224799.52,221642.9,147761.95,GL
2024-05,1500,Fixed Assets,Asset,0,0,14871.3,GL
2024-05,1600,Accumulated Depreciation,Asset,0,2000,10000,GL
2024-05,2000,Accounts Payable,Liability,84150.28,84544.83,56100.19999999998,GL
2024-05,3000,Common Stock,Equity,0,0,650000,GL
2024-05,3900,Retained Earnings,Equity,0,0,-120332.78,derived_plug
2024-05,4000,Product Revenue,Revenue,0,199795.25,199795.25,GL
2024-05,4100,Service Revenue,Revenue,0,25004.27,25004.27,GL
2024-05,5000,Cost of Goods Sold,Expense,62810.2,0,62810.2,GL
2024-05,6000,Salaries & Wages,Expense,103686.03,0,103686.03,GL
2024-05,6100,Employee Benefits,Expense,21739.06,0,21739.06,GL
2024-05,6200,Software & Subscriptions,Expense,8419.76,0,8419.76,GL
2024-05,6300,Marketing & Advertising,Expense,15181.35,0,15181.35,GL
2024-05,6400,Travel & Entertainment,Expense,4078.79,0,4078.79,GL
2024-05,6500,Professional Fees,Expense,6553.28,0,6553.28,GL
2024-05,6600,Rent & Facilities,Expense,12000,0,12000,GL
2024-05,6700,Depreciation,Expense,2000,0,2000,GL
2024-05,6800,Office Supplies,Expense,1288.99,0,1288.99,GL
2024-05,6900,Utilities,Expense,1947.21,0,1947.21,GL
2024-06,1000,Cash,Asset,228493.77,241640.49,419987.45000000007,GL
2024-06,1100,Accounts Receivable,Asset,233061.02,228493.77,152329.2,GL
2024-06,1500,Fixed Assets,Asset,0,0,14871.3,GL
2024-06,1600,Accumulated Depreciation,Asset,0,2000,12000,GL
2024-06,2000,Accounts Payable,Liability,88576.1,91526.66,59050.759999999966,GL
2024-06,3000,Common Stock,Equity,0,0,650000,GL
2024-06,3900,Retained Earnings,Equity,0,0,-133862.81,derived_plug
2024-06,4000,Product Revenue,Revenue,0,208137.27,208137.27,GL
2024-06,4100,Service Revenue,Revenue,0,24923.75,24923.75,GL
2024-06,5000,Cost of Goods Sold,Expense,68844.14,0,68844.14,GL
2024-06,6000,Salaries & Wages,Expense,102389.81,0,102389.81,GL
2024-06,6100,Employee Benefits,Expense,21786.72,0,21786.72,GL
2024-06,6200,Software & Subscriptions,Expense,8845.99,0,8845.99,GL
2024-06,6300,Marketing & Advertising,Expense,17029.1,0,17029.1,GL
2024-06,6400,Travel & Entertainment,Expense,4563.05,0,4563.05,GL
2024-06,6500,Professional Fees,Expense,5653.42,0,5653.42,GL
2024-06,6600,Rent & Facilities,Expense,12000,0,12000,GL
2024-06,6700,Depreciation,Expense,2000,0,2000,GL
2024-06,6800,Office Supplies,Expense,1343.06,0,1343.06,GL
2024-06,6900,Utilities,Expense,2135.76,0,2135.76,GL
2024-07,1000,Cash,Asset,237716.59,257284.76,400419.28,GL
2024-07,1100,Accounts Receivable,Asset,243865.15,237716.59,158477.76,GL
2024-07,1500,Fixed Assets,Asset,7499.87,0,22371.17,GL
2024-07,1600,Accumulated Depreciation,Asset,0,2000,14000,GL
2024-07,2000,Accounts Payable,Liability,87934.89,87507.43,58623.29999999996,GL
2024-07,3000,Common Stock,Equity,0,0,650000,GL
2024-07,3900,Retained Earnings,Equity,0,0,-141355.09,derived_plug
2024-07,4000,Product Revenue,Revenue,0,217689.22,217689.22,GL
2024-07,4100,Service Revenue,Revenue,0,26175.93,26175.93,GL
2024-07,5000,Cost of Goods Sold,Expense,66178.98,0,66178.98,GL
2024-07,6000,Salaries & Wages,Expense,109992.84,0,109992.84,GL
2024-07,6100,Employee Benefits,Expense,23798.11,0,23798.11,GL
2024-07,6200,Software & Subscriptions,Expense,8334.6,0,8334.6,GL
2024-07,6300,Marketing & Advertising,Expense,15389.06,0,15389.06,GL
2024-07,6400,Travel & Entertainment,Expense,4557.79,0,4557.79,GL
2024-07,6500,Professional Fees,Expense,5939.39,0,5939.39,GL
2024-07,6600,Rent & Facilities,Expense,12000,0,12000,GL
2024-07,6700,Depreciation,Expense,2000,0,2000,GL
2024-07,6800,Office Supplies,Expense,971.74,0,971.74,GL
2024-07,6900,Utilities,Expense,2194.92,0,2194.92,GL
2024-08,1000,Cash,Asset,243343.29,254230.81,389531.76,GL
2024-08,1100,Accounts Receivable,Asset,247094.42,243343.29,162228.88999999998,GL
2024-08,1500,Fixed Assets,Asset,0,0,22371.17,GL
2024-08,1600,Accumulated Depreciation,Asset,0,2000,16000,GL
2024-08,2000,Accounts Payable,Liability,93759.23,97642.11,62506.179999999964,GL
2024-08,3000,Common Stock,Equity,0,0,650000,GL
2024-08,3900,Retained Earnings,Equity,0,0,-154374.36,derived_plug
2024-08,4000,Product Revenue,Revenue,0,221902.09,221902.09,GL
2024-08,4100,Service Revenue,Revenue,0,25192.33,25192.33,GL
2024-08,5000,Cost of Goods Sold,Expense,74274.33,0,74274.33,GL
2024-08,6000,Salaries & Wages,Expense,109281.08,0,109281.08,GL
2024-08,6100,Employee Benefits,Expense,22901.59,0,22901.59,GL
2024-08,6200,Software & Subscriptions,Expense,8523.16,0,8523.16,GL
2024-08,6300,Marketing & Advertising,Expense,17358.55,0,17358.55,GL
2024-08,6400,Travel & Entertainment,Expense,4348.66,0,4348.66,GL
2024-08,6500,Professional Fees,Expense,6009.23,0,6009.23,GL
2024-08,6600,Rent & Facilities,Expense,12000,0,12000,GL
2024-08,6700,Depreciation,Expense,2000,0,2000,GL
2024-08,6800,Office Supplies,Expense,1283.14,0,1283.14,GL
2024-08,6900,Utilities,Expense,2133.95,0,2133.95,GL
2024-09,1000,Cash,Asset,245179.72,256596.12,378115.36,GL
2024-09,1100,Accounts Receivable,Asset,246404.01,245179.72,163453.18,GL
2024-09,1500,Fixed Assets,Asset,0,0,22371.17,GL
2024-09,1600,Accumulated Depreciation,Asset,0,2000,18000,GL
2024-09,2000,Accounts Payable,Liability,92439.97,91560.47,61626.67999999995,GL
2024-09,3000,Common Stock,Equity,0,0,650000,GL
2024-09,3900,Retained Earnings,Equity,0,0,-165686.97,derived_plug
2024-09,4000,Product Revenue,Revenue,0,219997.34,219997.34,GL
2024-09,4100,Service Revenue,Revenue,0,26406.67,26406.67,GL
2024-09,5000,Cost of Goods Sold,Expense,71385.73,0,71385.73,GL
2024-09,6000,Salaries & Wages,Expense,111511.96,0,111511.96,GL
2024-09,6100,Employee Benefits,Expense,24034.81,0,24034.81,GL
2024-09,6200,Software & Subscriptions,Expense,9115.27,0,9115.27,GL
2024-09,6300,Marketing & Advertising,Expense,14716.2,0,14716.2,GL
2024-09,6400,Travel & Entertainment,Expense,4547.72,0,4547.72,GL
2024-09,6500,Professional Fees,Expense,5458.54,0,5458.54,GL
2024-09,6600,Rent & Facilities,Expense,12000,0,12000,GL
2024-09,6700,Depreciation,Expense,2000,0,2000,GL
2024-09,6800,Office Supplies,Expense,1075.43,0,1075.43,GL
2024-09,6900,Utilities,Expense,1870.96,0,1870.96,GL
2024-10,1000,Cash,Asset,255137.79,272717.71,360535.44000000006,GL
2024-10,1100,Accounts Receivable,Asset,261776.51,255137.79,170091.9,GL
2024-10,1500,Fixed Assets,Asset,7734.77,0,30105.94,GL
2024-10,1600,Accumulated Depreciation,Asset,0,2000,20000,GL
2024-10,2000,Accounts Payable,Liability,101316.55,107234.27,67544.39999999994,GL
2024-10,3000,Common Stock,Equity,0,0,650000,GL
2024-10,3900,Retained Earnings,Equity,0,0,-176811.12,derived_plug
2024-10,4000,Product Revenue,Revenue,0,229262.95,229262.95,GL
2024-10,4100,Service Revenue,Revenue,0,32513.56,32513.56,GL
2024-10,5000,Cost of Goods Sold,Expense,75171.92,0,75171.92,GL
2024-10,6000,Salaries & Wages,Expense,111829.37,0,111829.37,GL
2024-10,6100,Employee Benefits,Expense,23958.06,0,23958.06,GL
2024-10,6200,Software & Subscriptions,Expense,8511,0,8511,GL
2024-10,6300,Marketing & Advertising,Expense,26611.06,0,26611.06,GL
2024-10,6400,Travel & Entertainment,Expense,4240.44,0,4240.44,GL
2024-10,6500,Professional Fees,Expense,5451.29,0,5451.29,GL
2024-10,6600,Rent & Facilities,Expense,12000,0,12000,GL
2024-10,6700,Depreciation,Expense,2000,0,2000,GL
2024-10,6800,Office Supplies,Expense,1252.18,0,1252.18,GL
2024-10,6900,Utilities,Expense,1875.34,0,1875.34,GL
2024-11,1000,Cash,Asset,262132.3,267655.03,355012.71,GL
2024-11,1100,Accounts Receivable,Asset,266795.31,262132.3,174754.91,GL
2024-11,1500,Fixed Assets,Asset,0,0,30105.94,GL
2024-11,1600,Accumulated Depreciation,Asset,0,2000,22000,GL
2024-11,2000,Accounts Payable,Liability,103186.13,104432.53,68790.79999999993,GL
2024-11,3000,Common Stock,Equity,0,0,650000,GL
2024-11,3900,Retained Earnings,Equity,0,0,-180917.24,derived_plug
2024-11,4000,Product Revenue,Revenue,0,233860.53,233860.53,GL
2024-11,4100,Service Revenue,Revenue,0,32934.78,32934.78,GL
2024-11,5000,Cost of Goods Sold,Expense,73081.22,0,73081.22,GL
2024-11,6000,Salaries & Wages,Expense,111027.45,0,111027.45,GL
2024-11,6100,Employee Benefits,Expense,25295.37,0,25295.37,GL
2024-11,6200,Software & Subscriptions,Expense,8784.47,0,8784.47,GL
2024-11,6300,Marketing & Advertising,Expense,25669.14,0,25669.14,GL
2024-11,6400,Travel & Entertainment,Expense,4135.96,0,4135.96,GL
2024-11,6500,Professional Fees,Expense,5682.17,0,5682.17,GL
2024-11,6600,Rent & Facilities,Expense,12000,0,12000,GL
2024-11,6700,Depreciation,Expense,2000,0,2000,GL
2024-11,6800,Office Supplies,Expense,1413.48,0,1413.48,GL
2024-11,6900,Utilities,Expense,1812.17,0,1812.17,GL
2024-12,1000,Cash,Asset,267263,268623.56,353652.1500000001,GL
2024-12,1100,Accounts Receivable,Asset,270683.47,267263,178175.37999999998,GL
2024-12,1500,Fixed Assets,Asset,0,0,30105.94,GL
2024-12,1600,Accumulated Depreciation,Asset,0,2000,24000,GL
2024-12,2000,Accounts Payable,Liability,104890.47,106026.69,69927.01999999993,GL
2024-12,3000,Common Stock,Equity,0,0,650000,GL
2024-12,3900,Retained Earnings,Equity,0,0,-181993.55,derived_plug
2024-12,4000,Product Revenue,Revenue,0,241492.68,241492.68,GL
2024-12,4100,Service Revenue,Revenue,0,29190.79,29190.79,GL
2024-12,5000,Cost of Goods Sold,Expense,73917.9,0,73917.9,GL
2024-12,6000,Salaries & Wages,Expense,109295.84,0,109295.84,GL
2024-12,6100,Employee Benefits,Expense,24954.09,0,24954.09,GL
2024-12,6200,Software & Subscriptions,Expense,9619.34,0,9619.34,GL
2024-12,6300,Marketing & Advertising,Expense,26125.08,0,26125.08,GL
2024-12,6400,Travel & Entertainment,Expense,4299.05,0,4299.05,GL
2024-12,6500,Professional Fees,Expense,5983.71,0,5983.71,GL
2024-12,6600,Rent & Facilities,Expense,12000,0,12000,GL
2024-12,6700,Depreciation,Expense,2000,0,2000,GL
2024-12,6800,Office Supplies,Expense,1080.99,0,1080.99,GL
2024-12,6900,Utilities,Expense,2483.78,0,2483.78,GL
2025-01,1000,Cash,Asset,275567.21,294131.58,335087.7800000001,GL
2025-01,1100,Accounts Receivable,Asset,281103.35,275567.21,183711.52,GL
2025-01,1500,Fixed Assets,Asset,6739.34,0,36845.28,GL
2025-01,1600,Accumulated Depreciation,Asset,0,2000,26000,GL
2025-01,2000,Accounts Payable,Liability,108520.21,110940.03,72346.83999999992,GL
2025-01,3000,Common Stock,Equity,0,0,650000,GL
2025-01,3900,Retained Earnings,Equity,0,0,-192702.26,derived_plug
2025-01,4000,Product Revenue,Revenue,0,250187.23,250187.23,GL
2025-01,4100,Service Revenue,Revenue,0,30916.12,30916.12,GL
2025-01,5000,Cost of Goods Sold,Expense,77884.27,0,77884.27,GL
2025-01,6000,Salaries & Wages,Expense,121828.6,0,121828.6,GL
2025-01,6100,Employee Benefits,Expense,27146.86,0,27146.86,GL
2025-01,6200,Software & Subscriptions,Expense,10298.82,0,10298.82,GL
2025-01,6300,Marketing & Advertising,Expense,18321.23,0,18321.23,GL
2025-01,6400,Travel & Entertainment,Expense,4286.84,0,4286.84,GL
2025-01,6500,Professional Fees,Expense,14734.53,0,14734.53,GL
2025-01,6600,Rent & Facilities,Expense,12000,0,12000,GL
2025-01,6700,Depreciation,Expense,2000,0,2000,GL
2025-01,6800,Office Supplies,Expense,992.64,0,992.64,GL
2025-01,6900,Utilities,Expense,2318.27,0,2318.27,GL
2025-02,1000,Cash,Asset,278561.86,289355.4,324294.2400000001,GL
2025-02,1100,Accounts Receivable,Asset,280558.29,278561.86,185707.94999999998,GL
2025-02,1500,Fixed Assets,Asset,0,0,36845.28,GL
2025-02,1600,Accumulated Depreciation,Asset,0,2000,28000,GL
2025-02,2000,Accounts Payable,Liability,112969.12,115935.06,75312.77999999993,GL
2025-02,3000,Common Stock,Equity,0,0,650000,GL
2025-02,3900,Retained Earnings,Equity,0,0,-206465.31,derived_plug
2025-02,4000,Product Revenue,Revenue,0,253822.16,253822.16,GL
2025-02,4100,Service Revenue,Revenue,0,26736.13,26736.13,GL
2025-02,5000,Cost of Goods Sold,Expense,81967.7,0,81967.7,GL
2025-02,6000,Salaries & Wages,Expense,120240.78,0,120240.78,GL
2025-02,6100,Employee Benefits,Expense,27083.93,0,27083.93,GL
2025-02,6200,Software & Subscriptions,Expense,10306.84,0,10306.84,GL
2025-02,6300,Marketing & Advertising,Expense,18663.49,0,18663.49,GL
2025-02,6400,Travel & Entertainment,Expense,3702.27,0,3702.27,GL
2025-02,6500,Professional Fees,Expense,15303.87,0,15303.87,GL
2025-02,6600,Rent & Facilities,Expense,12000,0,12000,GL
2025-02,6700,Depreciation,Expense,2000,0,2000,GL
2025-02,6800,Office Supplies,Expense,1136.13,0,1136.13,GL
2025-02,6900,Utilities,Expense,1916.33,0,1916.33,GL
2025-03,1000,Cash,Asset,282560.87,285554.84,321300.2700000001,GL
2025-03,1100,Accounts Receivable,Asset,285226.88,282560.87,188373.96,GL
2025-03,1500,Fixed Assets,Asset,0,0,36845.28,GL
2025-03,1600,Accumulated Depreciation,Asset,0,2000,30000,GL
2025-03,2000,Accounts Payable,Liability,108363.57,105293.21,72242.41999999993,GL
2025-03,3000,Common Stock,Equity,0,0,650000,GL
2025-03,3900,Retained Earnings,Equity,0,0,-205722.91,derived_plug
2025-03,4000,Product Revenue,Revenue,0,256758.65,256758.65,GL
2025-03,4100,Service Revenue,Revenue,0,28468.23,28468.23,GL
2025-03,5000,Cost of Goods Sold,Expense,80981.55,0,80981.55,GL
2025-03,6000,Salaries & Wages,Expense,121524.57,0,121524.57,GL
2025-03,6100,Employee Benefits,Expense,26647.98,0,26647.98,GL
2025-03,6200,Software & Subscriptions,Expense,9179.95,0,9179.95,GL
2025-03,6300,Marketing & Advertising,Expense,17833.93,0,17833.93,GL
2025-03,6400,Travel & Entertainment,Expense,4462.32,0,4462.32,GL
2025-03,6500,Professional Fees,Expense,6477.73,0,6477.73,GL
2025-03,6600,Rent & Facilities,Expense,12000,0,12000,GL
2025-03,6700,Depreciation,Expense,2000,0,2000,GL
2025-03,6800,Office Supplies,Expense,1179.55,0,1179.55,GL
2025-03,6900,Utilities,Expense,2196.9,0,2196.9,GL
2025-04,1000,Cash,Asset,294873.61,295182.37,320991.51000000007,GL
2025-04,1100,Accounts Receivable,Asset,303082.1,294873.61,196582.44999999998,GL
2025-04,1500,Fixed Assets,Asset,8584.15,0,45429.43,GL
2025-04,1600,Accumulated Depreciation,Asset,0,2000,32000,GL
2025-04,2000,Accounts Payable,Liability,110726.9,112302.45,73817.96999999993,GL
2025-04,3000,Common Stock,Equity,0,0,650000,GL
2025-04,3900,Retained Earnings,Equity,0,0,-192814.58,derived_plug
2025-04,4000,Product Revenue,Revenue,0,271314.62,271314.62,GL
2025-04,4100,Service Revenue,Revenue,0,31767.48,31767.48,GL
2025-04,5000,Cost of Goods Sold,Expense,87309.78,0,87309.78,GL
2025-04,6000,Salaries & Wages,Expense,121583.77,0,121583.77,GL
2025-04,6100,Employee Benefits,Expense,25733.57,0,25733.57,GL
2025-04,6200,Software & Subscriptions,Expense,9223.19,0,9223.19,GL
2025-04,6300,Marketing & Advertising,Expense,18592.75,0,18592.75,GL
2025-04,6400,Travel & Entertainment,Expense,4353.17,0,4353.17,GL
2025-04,6500,Professional Fees,Expense,6399.92,0,6399.92,GL
2025-04,6600,Rent & Facilities,Expense,12000,0,12000,GL
2025-04,6700,Depreciation,Expense,2000,0,2000,GL
2025-04,6800,Office Supplies,Expense,965.12,0,965.12,GL
2025-04,6900,Utilities,Expense,2012.5,0,2012.5,GL
2025-05,1000,Cash,Asset,297168.76,282296.51,335863.76000000007,GL
2025-05,1100,Accounts Receivable,Asset,298698.86,297168.76,198112.55000000002,GL
2025-05,1500,Fixed Assets,Asset,0,0,45429.43,GL
2025-05,1600,Accumulated Depreciation,Asset,0,2000,34000,GL
2025-05,2000,Accounts Payable,Liability,109525.58,108724.7,73017.08999999992,GL
2025-05,3000,Common Stock,Equity,0,0,650000,GL
2025-05,3900,Retained Earnings,Equity,0,0,-177611.35,derived_plug
2025-05,4000,Product Revenue,Revenue,0,267836.27,267836.27,GL
2025-05,4100,Service Revenue,Revenue,0,30862.59,30862.59,GL
2025-05,5000,Cost of Goods Sold,Expense,85924.47,0,85924.47,GL
2025-05,6000,Salaries & Wages,Expense,118000.29,0,118000.29,GL
2025-05,6100,Employee Benefits,Expense,24851.49,0,24851.49,GL
2025-05,6200,Software & Subscriptions,Expense,10684.45,0,10684.45,GL
2025-05,6300,Marketing & Advertising,Expense,17315.46,0,17315.46,GL
2025-05,6400,Travel & Entertainment,Expense,3995.37,0,3995.37,GL
2025-05,6500,Professional Fees,Expense,5484.77,0,5484.77,GL
2025-05,6600,Rent & Facilities,Expense,12000,0,12000,GL
2025-05,6700,Depreciation,Expense,2000,0,2000,GL
2025-05,6800,Office Supplies,Expense,1111.27,0,1111.27,GL
2025-05,6900,Utilities,Expense,2128.06,0,2128.06,GL
2025-06,1000,Cash,Asset,307657.42,287324.69,356196.4900000001,GL
2025-06,1100,Accounts Receivable,Asset,314649.86,307657.42,205104.99000000002,GL
2025-06,1500,Fixed Assets,Asset,0,0,45429.43,GL
2025-06,1600,Accumulated Depreciation,Asset,0,2000,36000,GL
2025-06,2000,Accounts Payable,Liability,113420.69,116017.42,75613.81999999992,GL
2025-06,3000,Common Stock,Equity,0,0,650000,GL
2025-06,3900,Retained Earnings,Equity,0,0,-154882.91,derived_plug
2025-06,4000,Product Revenue,Revenue,0,287561.36,287561.36,GL
2025-06,4100,Service Revenue,Revenue,0,27088.5,27088.5,GL
2025-06,5000,Cost of Goods Sold,Expense,92897.67,0,92897.67,GL
2025-06,6000,Salaries & Wages,Expense,119999.02,0,119999.02,GL
2025-06,6100,Employee Benefits,Expense,25278.91,0,25278.91,GL
2025-06,6200,Software & Subscriptions,Expense,9638.21,0,9638.21,GL
2025-06,6300,Marketing & Advertising,Expense,17396.19,0,17396.19,GL
2025-06,6400,Travel & Entertainment,Expense,3676.52,0,3676.52,GL
2025-06,6500,Professional Fees,Expense,5723.56,0,5723.56,GL
2025-06,6600,Rent & Facilities,Expense,12000,0,12000,GL
2025-06,6700,Depreciation,Expense,2000,0,2000,GL
2025-06,6800,Office Supplies,Expense,972.04,0,972.04,GL
2025-06,6900,Utilities,Expense,2339.3,0,2339.3,GL
2025-07,1000,Cash,Asset,312522.34,311030.52,357688.3100000001,GL
2025-07,1100,Accounts Receivable,Asset,315765.61,312522.34,208348.25999999998,GL
2025-07,1500,Fixed Assets,Asset,8490.71,0,53920.14,GL
2025-07,1600,Accumulated Depreciation,Asset,0,2000,38000,GL
2025-07,2000,Accounts Payable,Liability,112029.35,111101.78,74686.24999999991,GL
2025-07,3000,Common Stock,Equity,0,0,650000,GL
2025-07,3900,Retained Earnings,Equity,0,0,-142729.54,derived_plug
2025-07,4000,Product Revenue,Revenue,0,286901.43,286901.43,GL
2025-07,4100,Service Revenue,Revenue,0,28864.18,28864.18,GL
2025-07,5000,Cost of Goods Sold,Expense,87295,0,87295,GL
2025-07,6000,Salaries & Wages,Expense,130995.57,0,130995.57,GL
2025-07,6100,Employee Benefits,Expense,27968.58,0,27968.58,GL
2025-07,6200,Software & Subscriptions,Expense,11166.13,0,11166.13,GL
2025-07,6300,Marketing & Advertising,Expense,17972.92,0,17972.92,GL
2025-07,6400,Travel & Entertainment,Expense,4028.82,0,4028.82,GL
2025-07,6500,Professional Fees,Expense,5833.86,0,5833.86,GL
2025-07,6600,Rent & Facilities,Expense,13200,0,13200,GL
2025-07,6700,Depreciation,Expense,2000,0,2000,GL
2025-07,6800,Office Supplies,Expense,1010.96,0,1010.96,GL
2025-07,6900,Utilities,Expense,2140.4,0,2140.4,GL
2025-08,1000,Cash,Asset,320980.54,304057.05,374611.8000000001,GL
2025-08,1100,Accounts Receivable,Asset,326619.35,320980.54,213987.07000000004,GL
2025-08,1500,Fixed Assets,Asset,0,0,53920.14,GL
2025-08,1600,Accumulated Depreciation,Asset,0,2000,40000,GL
2025-08,2000,Accounts Payable,Liability,115304.09,117487.26,76869.4199999999,GL
2025-08,3000,Common Stock,Equity,0,0,650000,GL
2025-08,3900,Retained Earnings,Equity,0,0,-124350.41,derived_plug
2025-08,4000,Product Revenue,Revenue,0,294047.51,294047.51,GL
2025-08,4100,Service Revenue,Revenue,0,32571.84,32571.84,GL
2025-08,5000,Cost of Goods Sold,Expense,91778.18,0,91778.18,GL
2025-08,6000,Salaries & Wages,Expense,130693.07,0,130693.07,GL
2025-08,6100,Employee Benefits,Expense,28057.61,0,28057.61,GL
2025-08,6200,Software & Subscriptions,Expense,9800.91,0,9800.91,GL
2025-08,6300,Marketing & Advertising,Expense,19503.76,0,19503.76,GL
2025-08,6400,Travel & Entertainment,Expense,3440.06,0,3440.06,GL
2025-08,6500,Professional Fees,Expense,6205.32,0,6205.32,GL
2025-08,6600,Rent & Facilities,Expense,13200,0,13200,GL
2025-08,6700,Depreciation,Expense,2000,0,2000,GL
2025-08,6800,Office Supplies,Expense,1125.53,0,1125.53,GL
